ticker,date,stock_price,after_hours_price,prev_close_price,day_range,year_range,Market_cap,Avg_vol,PE_Ratio,Dividend_yeld,Primary_exchange
CRSP,4/5/2024,$62.90 ,$63.20 ,$65.06 ,$62.33 - $64.45,$37.55 - $91.10,5.05B USD,1.33M,-,-,NASDAQ
DNUT,4/5/2024,$15.33 ,$15.37 ,$14.29 ,$14.84 - $16.05,$11.52 - $17.84,2.59B USD,2.13M,-,0.91%,NASDAQ
RARE,4/5/2024,$50.24 ,$50.24 ,$47.08 ,$45.83 - $50.84,$31.52 - $54.98,4.14B USD,572.25K,-,-,NASDAQ
STAA,4/5/2024,$48.68 ,$48.70 ,$45.51 ,$44.79 - $48.83,$26.66 - $73.13,2.38B USD,581.20K,112.71,-,NASDAQ
CEG,4/5/2024,$193.08 ,$192.95 ,$183.11 ,$181.42 - $194.85,$74.17 - $198.83,60.84B USD,2.49M,38.54,0.73%,NASDAQ
RXST,4/5/2024,$55.16 ,$55.16 ,$52.00 ,$51.72 - $56.60,$16.15 - $58.21,2.04B USD,353.33K,-,-,NASDAQ
MMYT,4/5/2024,$75.97 ,$76.54 ,$71.55 ,$71.64 - $76.22,$22.50 - $76.22,8.06B USD,609.17K,168.64,-,NASDAQ
IESC,4/5/2024,$133.63 ,$133.63 ,$125.95 ,$126.11 - $135.48,$40.00 - $135.48,2.70B USD,94.10K,22.22,-,NASDAQ
CELH,4/5/2024,$83.94 ,$83.88 ,$79.47 ,$78.13 - $84.73,$28.08 - $99.62,19.54B USD,4.78M,109.3,-,NASDAQ
TMDX,4/5/2024,$85.04 ,$83.28 ,$77.20 ,$76.43 - $85.28,$36.42 - $99.63,2.78B USD,730.37K,-,-,NASDAQ
MDB,4/5/2024,$362.82 ,$362.50 ,$343.74 ,$344.96 - $364.66,$198.72 - $509.62,26.42B USD,1.29M,-,-,NASDAQ
GGAL,4/5/2024,$27.37 ,$27.36 ,$25.80 ,$25.80 - $27.37,$10.57 - $27.37,4.03B USD,760.07K,1905,"Buenos Aires, Buenos AiresArgentina",gfgsa.com
TSLA,4/8/2024,$172.98 ,$172.98 ,$164.90 ,$167.79 - $174.50,$152.37 - $299.29,542.03B USD,97.73M,40.19,-,NASDAQ
AMD,4/8/2024,$169.90 ,$169.69 ,$170.42 ,$166.82 - $171.66,$81.02 - $227.30,274.58B USD,72.27M,323.29,-,NASDAQ
INTC,4/8/2024,$37.98 ,$37.98 ,$38.71 ,$37.91 - $38.86,$26.86 - $51.28,161.68B USD,33.53M,94.71,1.32%,NASDAQ
F,4/8/2024,$13.41 ,$13.42 ,$13.28 ,$13.35 - $13.54,$9.63 - $15.42,53.54B USD,37.15M,12.47,4.47%,NYSE
NIO,4/8/2024,$4.37 ,$4.38 ,$4.39 ,$4.37 - $4.53,$4.36 - $16.18,9.09B USD,56.42M,NYSE,William Li,2014
NVDA,4/8/2024,$871.33 ,$870.20 ,$880.08 ,$867.32 - $888.30,$262.20 - $974.00,2.18T USD,45.84M,73.02,0.02%,NASDAQ
AMZN,4/8/2024,$185.19 ,$185.45 ,$185.07 ,$184.81 - $187.29,$97.71 - $187.29,1.92T USD,28.26M,63.86,-,NASDAQ
PLTR,4/8/2024,$23.00 ,$23.01 ,$22.96 ,$22.67 - $23.20,$7.28 - $27.50,50.87B USD,47.59M,251.89,-,NYSE
RIVN,4/8/2024,$10.44 ,$10.40 ,$10.10 ,$10.16 - $10.50,$10.01 - $28.06,10.20B USD,41.39M,-,-,NASDAQ
AAPL,4/8/2024,$168.45 ,$168.27 ,$169.58 ,$168.24 - $169.20,$159.78 - $199.62,2.60T USD,66.61M,26.21,0.57%,NASDAQ
PFE,4/8/2024,$26.58 ,$26.61 ,$26.66 ,$26.52 - $26.82,$25.61 - $41.99,150.51B USD,35.58M,71.11,6.32%,NYSE
GOLD,4/8/2024,$17.70 ,$17.71 ,$17.86 ,$17.48 - $18.12,$13.76 - $20.75,30.98B USD,16.00M,-,-,B
WBD,4/8/2024,$8.52 ,$8.50 ,$8.32 ,$8.27 - $8.57,$8.02 - $15.56,20.79B USD,26.59M,-,-,NASDAQ
MARA,4/8/2024,$17.95 ,$18.11 ,$18.43 ,$17.61 - $19.73,$7.16 - $34.09,4.80B USD,71.13M,13.32,-,NASDAQ
CCL,4/8/2024,$15.66 ,$15.62 ,$15.12 ,$15.24 - $15.68,$8.70 - $19.74,19.61B USD,34.46M,60.95,-,NYSE
PLUG,4/8/2024,$3.12 ,$3.12 ,$3.14 ,$3.04 - $3.22,$2.26 - $13.44,2.13B USD,34.28M,-,-,NASDAQ
ABEV,4/8/2024,$2.41 ,$2.40 ,$2.41 ,$2.38 - $2.42,$2.36 - $3.23,38.04B USD,11.65M,C,Jean Jereissati,1-Jul-99
AAL,4/8/2024,$13.90 ,$13.90 ,$13.76 ,$13.74 - $14.08,$10.86 - $19.08,9.10B USD,29.22M,11.52,-,NASDAQ
PARA,4/8/2024,$11.06 ,$11.10 ,$11.97 ,$11.06 - $11.84,$10.16 - $24.00,7.64B USD,22.12M,-,1.81%,NASDAQ
SOFI,4/8/2024,$7.76 ,$7.74 ,$7.40 ,$7.50 - $7.77,$4.45 - $11.70,8.14B USD,52.94M,-,-,NASDAQ
GRAB,4/8/2024,$3.30 ,$3.30 ,$3.24 ,$3.22 - $3.31,$2.67 - $3.92,13.02B USD,26.12M,-,-,NASDAQ
BAC,4/8/2024,$37.50 ,$37.50 ,$37.11 ,$37.13 - $37.58,$24.96 - $38.35,295.90B USD,39.61M,12.19,2.56%,NYSE
T,4/8/2024,$17.25 ,$17.30 ,$17.42 ,$17.22 - $17.46,$13.43 - $19.99,123.39B USD,27.00M,8.77,6.43%,NYSE
BCS,4/8/2024,$9.87 ,$9.88 ,$9.74 ,$9.82 - $9.94,$6.23 - $9.98,36.61B USD,16.69M,A-,1896,"London, Greater LondonUnited Kingdom"
KGC,4/8/2024,$6.40 ,$6.45 ,$6.40 ,$6.33 - $6.56,$4.32 - $6.56,7.90B USD,15.73M,19.01,1.87%,C
EXLS,4/8/2024,$29.96 ,$30.32 ,$29.57 ,$29.50 - $30.01,$25.17 - $35.94,4.97B USD,792.04K,27.3,-,NASDAQ
USAC,4/8/2024,$26.44 ,$26.44 ,$26.48 ,$26.38 - $26.96,$18.48 - $28.47,2.72B USD,211.91K,NYSE,1998,"Austin, TexasUnited States"
APGE,4/8/2024,$54.62 ,$54.62 ,$56.81 ,$53.54 - $56.30,$14.19 - $72.29,3.19B USD,911.36K,-,-,NASDAQ
SIG,4/8/2024,$104.27 ,$104.27 ,$101.73 ,$102.75 - $105.13,$57.10 - $109.17,4.64B USD,931.51K,7.26,1.11%,NYSE
RNAC,4/8/2024,$13.12 ,$13.12 ,$13.31 ,$11.67 - $14.50,$11.67 - $42.60,70.83M USD,619.44K,-,-,NASDAQ
BLMN,4/8/2024,$27.17 ,$27.17 ,$26.91 ,$26.88 - $27.28,$22.03 - $30.13,2.37B USD,1.21M,10.59,3.53%,NASDAQ
DAY,4/8/2024,$62.55 ,$62.59 ,$61.04 ,$61.10 - $62.61,$61.01 - $74.66,9.50B USD,1.34M,-,-,NYSE
CABO,4/8/2024,$400.91 ,$400.91 ,$392.01 ,$393.26 - $404.28,$388.69 - $768.75,2.25B USD,104.96K,8.88,2.94%,NYSE
COIN,4/8/2024,$256.99 ,$256.84 ,$240.90 ,$249.68 - $261.63,$46.43 - $283.48,62.26B USD,12.54M,689.11,-,NASDAQ
ZGN,4/8/2024,$12.17 ,$12.10 ,$11.96 ,$11.73 - $13.00,$10.12 - $16.36,3.04B USD,753.95K,32.93,0.89%,NYSE
MSTR,4/8/2024,"$1,512.99 ","$1,510.00 ","$1,439.00 ","$1,491.20 - $1,623.78","$266.00 - $1,999.99",25.67B USD,2.73M,58.41,-,NASDAQ
ENPH,4/8/2024,$115.24 ,$115.24 ,$112.27 ,$112.36 - $116.45,$73.49 - $231.42,15.64B USD,3.38M,37.62,-,NASDAQ
ARRY,4/8/2024,$14.00 ,$14.00 ,$13.80 ,$13.82 - $14.13,$11.38 - $26.64,2.12B USD,5.35M,24.88,-,NASDAQ
CRSP,4/8/2024,$64.09 ,$64.09 ,$62.90 ,$62.51 - $64.22,$37.55 - $91.10,5.14B USD,1.50M,-,-,NASDAQ
DNUT,4/8/2024,$14.32 ,$14.26 ,$15.33 ,$14.14 - $15.36,$11.52 - $17.84,2.42B USD,2.10M,-,0.98%,NASDAQ
RARE,4/8/2024,$50.23 ,$49.99 ,$50.24 ,$49.21 - $51.20,$31.52 - $54.98,4.14B USD,713.89K,-,-,NASDAQ
STAA,4/8/2024,$49.49 ,$49.49 ,$48.68 ,$47.37 - $49.60,$26.66 - $73.13,2.42B USD,809.05K,114.59,-,NASDAQ
CEG,4/8/2024,$191.98 ,$191.98 ,$193.08 ,$188.11 - $197.64,$74.17 - $198.83,60.50B USD,2.44M,38.33,0.73%,NASDAQ
RXST,4/8/2024,$56.35 ,$56.35 ,$55.16 ,$53.65 - $56.90,$16.73 - $58.21,2.08B USD,337.10K,-,-,NASDAQ
MMYT,4/8/2024,$67.24 ,$67.32 ,$75.97 ,$67.08 - $77.30,$22.50 - $77.30,7.14B USD,563.15K,149.26,-,NASDAQ
TGS,4/8/2024,$18.08 ,$18.08 ,$18.55 ,$17.80 - $19.00,$9.50 - $19.95,1.60B USD,341.69K,Oscar Jose Sardi,28-Dec-92,tgs.com.ar
VRT,4/8/2024,$84.15 ,$84.47 ,$85.34 ,$82.25 - $86.00,$11.95 - $88.70,32.14B USD,6.20M,70.62,0.12%,NYSE
RAMP,4/8/2024,$35.37 ,$35.37 ,$36.53 ,$35.35 - $36.61,$21.96 - $42.66,2.42B USD,458.61K,-,-,NYSE
IESC,4/8/2024,$133.97 ,$133.97 ,$133.63 ,$132.57 - $138.56,$40.16 - $138.56,2.71B USD,134.48K,22.27,-,NASDAQ
GE,4/8/2024,$156.52 ,$157.10 ,$156.30 ,$153.70 - $157.95,$74.55 - $157.95,171.12B USD,5.40M,19.61,0.20%,NYSE
VST,4/8/2024,$74.42 ,$74.30 ,$75.33 ,$71.91 - $75.31,$22.67 - $75.89,25.89B USD,5.46M,20.79,1.13%,NYSE
CELH,4/8/2024,$83.80 ,$83.82 ,$83.94 ,$82.52 - $84.85,$28.08 - $99.62,19.51B USD,4.69M,109.11,-,NASDAQ
TMDX,4/8/2024,$89.93 ,$91.61 ,$85.04 ,$83.19 - $90.03,$36.42 - $99.63,2.94B USD,704.22K,-,-,NASDAQ
NEM,4/8/2024,$39.40 ,$39.50 ,$39.65 ,$39.17 - $40.14,$29.42 - $51.46,45.42B USD,13.13M,-,2.54%,NYSE
PAM,4/8/2024,$46.04 ,$46.04 ,$46.60 ,$45.49 - $48.22,$32.10 - $52.17,3.11B USD,272.18K,B-,2005,pampaenergia.com
SG,4/8/2024,$25.13 ,$25.24 ,$25.40 ,$24.71 - $25.70,$7.13 - $26.45,2.84B USD,3.01M,-,-,NYSE
MDB,4/8/2024,$363.32 ,$363.30 ,$362.82 ,$355.12 - $367.39,$198.72 - $509.62,26.46B USD,1.56M,-,-,NASDAQ
GGAL,4/8/2024,$27.73 ,$28.72 ,$27.37 ,$27.33 - $28.72,$10.57 - $28.72,4.03B USD,713.48K,1905,"Buenos Aires, Buenos AiresArgentina",gfgsa.com
CNK,4/8/2024,$19.18 ,$19.10 ,$19.77 ,$19.17 - $19.99,$13.19 - $20.40,2.33B USD,2.28M,14.35,-,NYSE
CLSK,4/8/2024,$15.36 ,$15.48 ,$15.60 ,$15.21 - $17.33,$2.38 - $24.72,3.46B USD,34.29M,-,-,NASDAQ
CMCSA,4/8/2024,$40.71 ,$40.72 ,$40.90 ,$40.58 - $41.01,$36.39 - $47.46,161.69B USD,15.90M,10.97,3.05%,NASDAQ
RIG,4/8/2024,$6.55 ,$6.57 ,$6.53 ,$6.44 - $6.88,$4.45 - $8.88,5.42B USD,18.24M,-,-,NYSE
VALE,4/8/2024,$12.50 ,$12.50 ,$11.80 ,$12.06 - $12.56,$11.73 - $16.60,56.68B USD,20.85M,A-,Eduardo Bartolomeo,1-Jun-42
MU,4/8/2024,$122.95 ,$122.60 ,$123.58 ,$122.61 - $129.70,$58.03 - $130.54,136.15B USD,20.50M,-,0.37%,NASDAQ
AS,4/8/2024,$14.52 ,$14.50 ,$15.34 ,$14.27 - $15.13,$13.10 - $18.23,7.26B USD,1.67M,-,-,NYSE
DKNG,4/8/2024,$45.51 ,$45.57 ,$47.20 ,$45.22 - $47.44,$17.88 - $49.57,21.65B USD,7.59M,-,-,NASDAQ
BHC,4/8/2024,$9.69 ,$9.73 ,$10.41 ,$9.36 - $10.46,$5.57 - $11.46,3.51B USD,2.68M,-,-,D
IMCR,4/8/2024,$60.50 ,$60.50 ,$63.50 ,$60.00 - $63.94,$42.21 - $76.98,3.01B USD,340.91K,NASDAQ,Bahija Jallal,2008
NXE,4/8/2024,$7.98 ,$8.01 ,$8.43 ,$7.86 - $8.36,$3.49 - $8.88,5.84B CAD,6.36M,-,-,TSE
CF,4/8/2024,$79.79 ,$79.99 ,$85.11 ,$79.68 - $85.48,$60.08 - $87.90,14.98B USD,3.06M,10.14,2.51%,NYSE
JBT,4/8/2024,$94.77 ,$94.77 ,$98.89 ,$94.71 - $100.21,$89.96 - $125.88,3.02B USD,139.72K,23.53,0.42%,NYSE
FTNT,4/8/2024,$68.39 ,$68.35 ,$70.91 ,$68.23 - $70.24,$44.12 - $81.24,52.18B USD,3.65M,46.96,-,NASDAQ
CORT,4/8/2024,$24.23 ,$24.23 ,$25.20 ,$24.01 - $25.50,$20.87 - $34.28,2.51B USD,713.54K,25.51,-,NASDAQ
GME,4/8/2024,$10.83 ,$10.89 ,$11.25 ,$10.83 - $11.37,$10.83 - $27.65,3.31B USD,3.17M,493.39,-,NYSE
DELL,4/8/2024,$127.15 ,$126.70 ,$132.72 ,$125.56 - $133.44,$39.90 - $136.16,90.76B USD,11.24M,29.14,1.40%,NYSE
APLS,4/8/2024,$53.81 ,$53.75 ,$55.91 ,$53.76 - $55.99,$19.83 - $94.75,6.49B USD,1.09M,-,-,NASDAQ
FLUT,4/8/2024,$192.65 ,$192.65 ,$201.30 ,$191.60 - $199.30,$190.76 - $226.40,27.57B GBP,92.11K,-,-,LON
GH,4/8/2024,$18.66 ,$18.65 ,$17.63 ,$17.59 - $18.80,$16.92 - $41.06,2.27B USD,2.37M,-,-,NASDAQ
WMG,4/8/2024,$35.10 ,$35.08 ,$33.33 ,$33.63 - $35.24,$23.62 - $38.05,18.18B USD,1.50M,39.38,1.94%,NASDAQ
CPT,4/8/2024,$102.13 ,$102.13 ,$96.62 ,$97.23 - $102.35,$82.81 - $114.04,11.12B USD,890.11K,NYSE,D,1981
IBRX,4/8/2024,$6.17 ,$6.11 ,$5.71 ,$5.59 - $6.18,$1.25 - $6.93,4.16B USD,4.80M,-,-,NASDAQ
ALB,4/8/2024,$131.69 ,$131.73 ,$123.45 ,$124.51 - $133.09,$106.69 - $247.44,15.48B USD,3.27M,9.86,1.21%,NYSE
MP,4/8/2024,$16.02 ,$16.11 ,$14.61 ,$14.90 - $16.38,$12.68 - $28.71,2.85B USD,3.76M,117.41,-,NYSE
SBSW,4/8/2024,$5.51 ,$5.55 ,$5.18 ,$5.33 - $5.57,$3.85 - $9.88,3.77B USD,6.67M,B,Neal John Froneman,12-Nov
VNO,4/8/2024,$28.84 ,$28.84 ,$27.36 ,$27.62 - $28.94,$12.31 - $32.21,5.49B USD,1.47M,NYSE,B,Steven Roth
SSL,4/8/2024,$8.74 ,$8.80 ,$8.16 ,$8.69 - $8.95,$7.10 - $14.49,5.66B USD,473.51K,A-,Simon Baloyi,1950
AGL,4/8/2024,$5.18 ,$5.14 ,$4.75 ,$4.67 - $5.21,$4.44 - $28.99,2.12B USD,4.11M,-,-,NYSE
VSAT,4/8/2024,$17.69 ,$17.69 ,$16.72 ,$16.72 - $17.71,$15.02 - $47.35,2.22B USD,897.18K,2.33,-,NASDAQ
IRT,4/8/2024,$16.29 ,$16.08 ,$15.37 ,$15.60 - $16.35,$11.61 - $18.77,3.67B USD,1.48M,NYSE,2009,"Philadelphia, PennsylvaniaUnited States"
GLBE,4/8/2024,$36.38 ,$36.81 ,$33.83 ,$33.99 - $36.75,$26.01 - $45.72,6.05B USD,1.25M,-,-,NASDAQ
RKT,4/8/2024,$13.84 ,$13.85 ,$12.95 ,$12.96 - $13.86,$7.17 - $15.19,27.48B USD,2.69M,-,-,NYSE
AMK,4/8/2024,$36.82 ,$37.23 ,$34.55 ,$34.80 - $37.30,$22.92 - $37.30,2.74B USD,230.98K,22.26,-,NYSE
ALPN,4/8/2024,$38.53 ,$39.28 ,$34.91 ,$34.25 - $39.50,$6.71 - $42.88,2.53B USD,1.25M,-,-,NASDAQ
TSLA,2024-04-09,$176.88,$177.41,$172.98,$171.92 - $179.22,$152.37 - $299.29,554.25B USD,98.59M,41.10,-,NASDAQ
AMD,2024-04-09,$170.78,$170.10,$169.90,$167.29 - $171.60,$81.02 - $227.30,275.97B USD,71.43M,324.96,-,NASDAQ
INTC,2024-04-09,$38.33,$38.25,$37.98,$37.33 - $38.58,$26.86 - $51.28,163.25B USD,46.90M,95.59,1.30%,NASDAQ
F,2024-04-09,$13.54,$13.54,$13.41,$13.34 - $13.59,$9.63 - $15.42,54.06B USD,49.28M,12.59,4.43%,NYSE
NIO,2024-04-09,$4.71,$4.70,$4.37,$4.42 - $4.79,$4.36 - $16.18,9.80B USD,55.50M,NYSE,William Li,2014
NVDA,2024-04-09,$853.54,$847.30,$871.33,$830.22 - $876.35,$262.20 - $974.00,2.13T USD,54.40M,71.53,0.02%,NASDAQ
AMZN,2024-04-09,$185.67,$185.47,$185.19,$184.20 - $187.34,$97.71 - $187.34,1.93T USD,35.85M,64.03,-,NASDAQ
PLTR,2024-04-09,$22.81,$22.76,$23.00,$22.46 - $23.09,$7.28 - $27.50,50.45B USD,57.57M,249.81,-,NYSE
RIVN,2024-04-09,$10.63,$10.59,$10.44,$10.39 - $10.69,$10.01 - $28.06,10.38B USD,46.82M,-,-,NASDAQ
AAPL,2024-04-09,$169.67,$169.76,$168.45,$168.35 - $170.08,$159.78 - $199.62,2.62T USD,66.35M,26.40,0.57%,NASDAQ
PFE,2024-04-09,$26.78,$26.75,$26.58,$26.65 - $27.42,$25.61 - $41.99,151.64B USD,43.70M,71.64,6.27%,NYSE
GOLD,2024-04-09,$18.01,$18.02,$17.70,$17.94 - $18.32,$13.76 - $20.75,31.52B USD,23.34M,-,-,B
WBD,2024-04-09,$8.69,$8.69,$8.52,$8.51 - $8.84,$8.02 - $15.56,21.20B USD,30.59M,-,-,NASDAQ
MARA,2024-04-09,$17.98,$17.93,$17.95,$17.62 - $18.55,$7.16 - $34.09,4.81B USD,71.21M,13.35,-,NASDAQ
CCL,2024-04-09,$15.50,$15.47,$15.66,$15.15 - $15.71,$8.70 - $19.74,19.40B USD,34.46M,60.32,-,NYSE
PLUG,2024-04-09,$3.25,$3.27,$3.12,$3.13 - $3.32,$2.26 - $13.44,2.22B USD,33.14M,-,-,NASDAQ
ABEV,2024-04-09,$2.45,$2.46,$2.41,$2.43 - $2.46,$2.36 - $3.23,38.77B USD,15.64M,C,Jean Jereissati,"Jul 1, 1999"
AAL,2024-04-09,$13.95,$14.03,$13.90,$13.88 - $14.07,$10.86 - $19.08,9.13B USD,29.41M,11.57,-,NASDAQ
PARA,2024-04-09,$10.97,$10.98,$11.06,$10.89 - $11.25,$10.16 - $24.00,7.66B USD,22.58M,-,1.82%,NASDAQ
SOFI,2024-04-09,$7.89,$7.91,$7.76,$7.73 - $7.94,$4.45 - $11.70,8.29B USD,53.92M,-,-,NASDAQ
GRAB,2024-04-09,$3.29,$3.31,$3.30,$3.27 - $3.35,$2.67 - $3.92,12.98B USD,26.13M,-,-,NASDAQ
BAC,2024-04-09,$37.73,$37.72,$37.50,$37.20 - $37.77,$24.96 - $38.35,297.71B USD,39.57M,12.26,2.54%,NYSE
T,2024-04-09,$16.90,$16.91,$16.97,$16.81 - $17.08,$13.43 - $19.99,120.88B USD,35.20M,8.59,6.57%,NYSE
BCS,2024-04-09,$9.73,$9.71,$9.87,$9.65 - $9.94,$6.23 - $9.98,36.26B USD,16.86M,A-,1896,"London, Greater LondonUnited Kingdom"
KGC,2024-04-09,$6.46,$6.45,$6.40,$6.40 - $6.57,$4.32 - $6.57,7.93B USD,16.10M,19.19,1.86%,C
EXLS,2024-04-09,$30.95,$31.16,$29.96,$29.97 - $30.97,$25.17 - $35.94,5.13B USD,1.14M,28.20,-,NASDAQ
USAC,2024-04-09,$26.20,$26.20,$26.44,$26.16 - $26.65,$18.48 - $28.47,2.70B USD,271.06K,NYSE,1998,"Austin, TexasUnited States"
APGE,2024-04-09,$56.37,$56.37,$54.62,$54.24 - $56.54,$14.19 - $72.29,3.29B USD,1.07M,-,-,NASDAQ
SIG,2024-04-09,$102.08,$102.08,$104.27,$101.31 - $105.16,$57.10 - $109.17,4.54B USD,926.34K,7.10,1.14%,NYSE
RNAC,2024-04-09,$13.99,$13.89,$13.12,$12.52 - $14.49,$11.67 - $42.60,75.35M USD,45.78K,-,-,NASDAQ
BLMN,2024-04-09,$27.35,$27.35,$27.17,$27.16 - $27.56,$22.03 - $30.13,2.38B USD,1.50M,10.66,3.51%,NASDAQ
DAY,2024-04-09,$64.10,$64.09,$62.55,$62.69 - $64.38,$61.01 - $74.66,9.73B USD,1.35M,-,-,NYSE
CABO,2024-04-09,$399.16,$399.16,$400.91,$392.01 - $401.80,$388.69 - $768.75,2.24B USD,99.53K,8.84,2.96%,NYSE
COIN,2024-04-09,$242.95,$243.30,$256.99,$241.10 - $254.55,$46.43 - $283.48,58.86B USD,14.78M,651.46,-,NASDAQ
ZGN,2024-04-09,$12.01,$12.01,$12.17,$11.75 - $12.22,$10.12 - $16.36,3.00B USD,847.36K,32.43,0.90%,NYSE
MSTR,2024-04-09,"$1,441.02","$1,440.00","$1,512.99","$1,375.00 - $1,480.17","$266.00 - $1,999.99",24.45B USD,3.35M,55.63,-,NASDAQ
ENPH,2024-04-09,$121.98,$122.15,$115.24,$115.33 - $122.03,$73.49 - $231.42,16.58B USD,3.35M,39.82,-,NASDAQ
ARRY,2024-04-09,$14.53,$14.23,$14.00,$14.02 - $14.71,$11.38 - $26.64,2.20B USD,6.42M,25.82,-,NASDAQ
CRSP,2024-04-09,$65.19,$65.50,$64.09,$63.07 - $65.24,$37.55 - $91.10,5.23B USD,1.47M,-,-,NASDAQ
DNUT,2024-04-09,$14.42,$14.39,$14.32,$14.28 - $14.61,$11.52 - $17.84,2.43B USD,4.32M,-,0.97%,NASDAQ
RARE,2024-04-09,$50.56,$50.56,$50.23,$50.24 - $51.24,$31.52 - $54.98,4.16B USD,715.04K,-,-,NASDAQ
STAA,2024-04-09,$52.25,$52.67,$49.49,$49.52 - $52.68,$26.66 - $73.13,2.55B USD,843.08K,120.98,-,NASDAQ
CEG,2024-04-09,$188.10,$188.10,$191.98,$185.05 - $194.84,$74.17 - $198.83,59.28B USD,3.06M,37.55,0.75%,NASDAQ
RXST,2024-04-09,$55.11,$55.11,$56.35,$54.72 - $56.68,$16.73 - $58.21,2.04B USD,426.66K,-,-,NASDAQ
MMYT,2024-04-09,$69.61,$69.13,$67.24,$67.12 - $70.69,$22.50 - $77.30,7.40B USD,789.26K,154.52,-,NASDAQ
TGS,2024-04-09,$17.66,$17.66,$18.08,$17.28 - $18.51,$9.50 - $19.95,1.56B USD,347.46K,Oscar Jose Sardi,"Dec 28, 1992",tgs.com.ar
VRT,2024-04-09,$81.80,$81.75,$84.15,$78.93 - $84.37,$11.95 - $88.70,31.25B USD,8.01M,68.65,0.12%,NYSE
RAMP,2024-04-09,$34.59,$34.59,$35.37,$34.39 - $35.43,$21.96 - $42.66,2.34B USD,601.24K,-,-,NYSE
IESC,2024-04-09,$125.53,$125.00,$133.97,$123.73 - $136.34,$40.16 - $138.56,2.54B USD,135.89K,20.87,-,NASDAQ
